ubuntu@Ubuntu-noble-latest-amd64-base:~/critsend$ # 1. Tout ce qui touche au bootstrap depuis le dernier reload (13:07)
pm2 logs --nostream --lines 2000 | grep -E "PRESSURE_GUARD\]|LOCK_RECOVERY|leader_acquired" | tail -50

# 2. Toutes les erreurs récentes des deux process
pm2 logs --nostream --lines 500 --err | tail -80

# 3. Confirmer l'état actuel des ticks (toujours bootstrap=deferred ?)
pm2 logs --nostream --lines 100 | grep "PRESSURE_GUARD_WORKER\] tick" | tail -5
0|critsend | 2026-05-14 15:02:40 +02:00: 2026-05-14T13:02:40.105Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=N (another node holds the lease), bootstrap=ready, has_pending=?, eligible_campaigns=0, drained_calls=0, errors=0
0|critsend | 2026-05-14 15:02:50 +02:00: 2026-05-14T13:02:50.103Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=N (another node holds the lease), bootstrap=ready, has_pending=?, eligible_campaigns=0, drained_calls=0, errors=0
0|critsend | 2026-05-14 15:03:00 +02:00: 2026-05-14T13:03:00.106Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=N (another node holds the lease), bootstrap=ready, has_pending=?, eligible_campaigns=0, drained_calls=0, errors=0
0|critsend | 2026-05-14 15:03:10 +02:00: 2026-05-14T13:03:10.108Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=N (another node holds the lease), bootstrap=ready, has_pending=?, eligible_campaigns=0, drained_calls=0, errors=0
0|critsend | 2026-05-14 15:03:20 +02:00: 2026-05-14T13:03:20.103Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=N (another node holds the lease), bootstrap=ready, has_pending=?, eligible_campaigns=0, drained_calls=0, errors=0
0|critsend | 2026-05-14 15:03:30 +02:00: 2026-05-14T13:03:30.104Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=N (another node holds the lease), bootstrap=ready, has_pending=?, eligible_campaigns=0, drained_calls=0, errors=0
0|critsend | 2026-05-14 15:03:40 +02:00: 2026-05-14T13:03:40.112Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=N (another node holds the lease), bootstrap=ready, has_pending=?, eligible_campaigns=0, drained_calls=0, errors=0
0|critsend | 2026-05-14 15:03:50 +02:00: 2026-05-14T13:03:50.115Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=N (another node holds the lease), bootstrap=ready, has_pending=?, eligible_campaigns=0, drained_calls=0, errors=0
0|critsend | 2026-05-14 15:04:00 +02:00: 2026-05-14T13:04:00.119Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=N (another node holds the lease), bootstrap=ready, has_pending=?, eligible_campaigns=0, drained_calls=0, errors=0
0|critsend | 2026-05-14 15:04:10 +02:00: 2026-05-14T13:04:10.104Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=N (another node holds the lease), bootstrap=ready, has_pending=?, eligible_campaigns=0, drained_calls=0, errors=0
0|critsend | 2026-05-14 15:04:20 +02:00: 2026-05-14T13:04:20.105Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=N (another node holds the lease), bootstrap=ready, has_pending=?, eligible_campaigns=0, drained_calls=0, errors=0
0|critsend | 2026-05-14 15:04:30 +02:00: 2026-05-14T13:04:30.105Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=N (another node holds the lease), bootstrap=ready, has_pending=?, eligible_campaigns=0, drained_calls=0, errors=0
