ubuntu@Ubuntu-noble-latest-amd64-base:~/critsend$ pm2 logs critsend-worker --lines 500 --nostream | awk '/2026-05-04 07:35/,/2026-05-04 07:36:30/'
1|critsend | 2026-05-04 07:35:02 +02:00: 2026-05-04T05:35:02.477Z [INFO] Processed 26 tag operations in 13 bulk groups
1|critsend | 2026-05-04 07:35:03 +02:00: 2026-05-04T05:35:03.898Z [INFO] Processed 12 tag operations in 9 bulk groups
1|critsend | 2026-05-04 07:35:05 +02:00: 2026-05-04T05:35:05.714Z [INFO] Processed 11 tag operations in 7 bulk groups
1|critsend | 2026-05-04 07:35:08 +02:00: 2026-05-04T05:35:08.657Z [INFO] Processed 27 tag operations in 15 bulk groups
1|critsend | 2026-05-04 07:35:10 +02:00: 2026-05-04T05:35:10.161Z [INFO] Processed 17 tag operations in 12 bulk groups
1|critsend | 2026-05-04 07:35:11 +02:00: 2026-05-04T05:35:11.927Z [INFO] Processed 15 tag operations in 9 bulk groups
1|critsend | 2026-05-04 07:35:14 +02:00: 2026-05-04T05:35:14.307Z [INFO] Processed 21 tag operations in 14 bulk groups
1|critsend | 2026-05-04 07:35:15 +02:00: 2026-05-04T05:35:15.855Z [INFO] Processed 11 tag operations in 8 bulk groups
1|critsend | 2026-05-04 07:35:17 +02:00: 2026-05-04T05:35:17.776Z [INFO] Processed 10 tag operations in 8 bulk groups
1|critsend | 2026-05-04 07:35:20 +02:00: 2026-05-04T05:35:20.376Z [INFO] Processed 19 tag operations in 11 bulk groups
1|critsend | 2026-05-04 07:35:22 +02:00: 2026-05-04T05:35:22.191Z [INFO] Processed 17 tag operations in 12 bulk groups
1|critsend | 2026-05-04 07:35:23 +02:00: 2026-05-04T05:35:23.694Z [INFO] Processed 9 tag operations in 6 bulk groups
1|critsend | 2026-05-04 07:35:26 +02:00: 2026-05-04T05:35:26.699Z [INFO] Processed 27 tag operations in 16 bulk groups
1|critsend | 2026-05-04 07:35:27 +02:00: 2026-05-04T05:35:27.799Z [INFO] Processed 10 tag operations in 8 bulk groups
1|critsend | 2026-05-04 07:35:29 +02:00: 2026-05-04T05:35:29.815Z [INFO] Processed 12 tag operations in 6 bulk groups
1|critsend | 2026-05-04 07:35:32 +02:00: 2026-05-04T05:35:32.015Z [INFO] Processed 13 tag operations in 9 bulk groups
1|critsend | 2026-05-04 07:35:33 +02:00: 2026-05-04T05:35:33.729Z [INFO] Processed 10 tag operations in 6 bulk groups
1|critsend | 2026-05-04 07:35:35 +02:00: 2026-05-04T05:35:35.917Z [INFO] Processed 12 tag operations in 9 bulk groups
1|critsend | 2026-05-04 07:35:38 +02:00: 2026-05-04T05:35:38.528Z [INFO] Processed 24 tag operations in 15 bulk groups
1|critsend | 2026-05-04 07:35:40 +02:00: 2026-05-04T05:35:40.185Z [INFO] Processed 16 tag operations in 13 bulk groups
1|critsend | 2026-05-04 07:35:42 +02:00: 2026-05-04T05:35:42.034Z [INFO] Processed 14 tag operations in 10 bulk groups
1|critsend | 2026-05-04 07:35:43 +02:00: 2026-05-04T05:35:43.638Z [INFO] Processed 7 tag operations in 7 bulk groups
1|critsend | 2026-05-04 07:35:45 +02:00: 2026-05-04T05:35:45.622Z [INFO] Processed 5 tag operations in 5 bulk groups
1|critsend | 2026-05-04 07:35:47 +02:00: 2026-05-04T05:35:47.926Z [INFO] Processed 12 tag operations in 10 bulk groups
1|critsend | 2026-05-04 07:35:50 +02:00: 2026-05-04T05:35:50.654Z [INFO] Processed 26 tag operations in 15 bulk groups
1|critsend | 2026-05-04 07:35:51 +02:00: 2026-05-04T05:35:51.930Z [INFO] Processed 11 tag operations in 9 bulk groups
1|critsend | 2026-05-04 07:35:54 +02:00: 2026-05-04T05:35:54.310Z [INFO] Processed 19 tag operations in 11 bulk groups
1|critsend | 2026-05-04 07:35:55 +02:00: 2026-05-04T05:35:55.692Z [INFO] Processed 9 tag operations in 6 bulk groups
1|critsend | 2026-05-04 07:35:57 +02:00: 2026-05-04T05:35:57.878Z [INFO] Processed 11 tag operations in 8 bulk groups
1|critsend | 2026-05-04 07:36:00 +02:00: 2026-05-04T05:36:00.129Z [INFO] Processed 14 tag operations in 11 bulk groups
1|critsend | 2026-05-04 07:36:02 +02:00: 2026-05-04T05:36:02.322Z [INFO] Processed 21 tag operations in 13 bulk groups
1|critsend | 2026-05-04 07:36:03 +02:00: 2026-05-04T05:36:03.883Z [INFO] Processed 14 tag operations in 5 bulk groups
1|critsend | 2026-05-04 07:36:05 +02:00: 2026-05-04T05:36:05.955Z [INFO] Processed 10 tag operations in 9 bulk groups
