ubuntu@Ubuntu-noble-latest-amd64-base:~/critsend$ pm2 logs critsend-web --lines 50 | grep -i "drain\|pressure"
4|critsend | 2026-05-23 04:30:46 +02:00: 2026-05-23T02:30:46.315Z [WARN] [PRESSURE_GUARD_WORKER] eligibility query failed (treating as empty this tick — eligible_campaigns will report 0 but errors=1): canceling statement due to statement timeout
4|critsend | 2026-05-23 04:30:58 +02:00: 2026-05-23T02:30:58.952Z [ERROR] [PRESSURE_GUARD] essential DDL failed (campaigns.skipped_pressure_count): canceling statement due to statement timeout
4|critsend | 2026-05-23 04:31:12 +02:00: 2026-05-23T02:31:12.528Z [WARN] [PRESSURE_GUARD] Task #169 first_deferred_at backfill failed (non-fatal, will retry next boot): canceling statement due to statement timeout
4|critsend | 2026-05-23 04:32:32 +02:00: 2026-05-23T02:32:32.621Z [ERROR] [PRESSURE_QUEUE] /admin/pressure-queue failed: canceling statement due to statement timeout
4|critsend | 2026-05-23 04:28:58 +02:00: 2026-05-23T02:28:58.504Z [INFO] [PRESSURE_GUARD_WORKER] Starting (poll=10000ms, batch=1000, max-campaigns=20, drain-parallelism=4, smtp-concurrency=20, window=6h, max_defer=72h, near_aging=48h)
4|critsend | 2026-05-23 04:28:58 +02:00: 2026-05-23T02:28:58.583Z [INFO] [PRESSURE_GUARD] Bootstrap fast-path: schema already verified, gate opened immediately (window=6h, max_defer=72h, near_aging=48h) — heavy maintenance will run in background
4|critsend | 2026-05-23 04:28:58 +02:00: 2026-05-23T02:28:58.786Z [INFO] [INDEX] campaign_sends_pressure_held_per_campaign_idx already exists — skipping
4|critsend | 2026-05-23 04:29:03 +02:00: 2026-05-23T02:29:03.796Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=N (another node holds the lease), bootstrap=ready, has_pending=?, eligible_campaigns=0, drained_calls=0, errors=0
4|critsend | 2026-05-23 04:29:08 +02:00: 2026-05-23T02:29:08.545Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=N (another node holds the lease), bootstrap=ready, has_pending=?, eligible_campaigns=0, drained_calls=0, errors=0
4|critsend | 2026-05-23 04:29:18 +02:00: 2026-05-23T02:29:18.537Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=N (another node holds the lease), bootstrap=ready, has_pending=?, eligible_campaigns=0, drained_calls=0, errors=0
4|critsend | 2026-05-23 04:29:28 +02:00: 2026-05-23T02:29:28.806Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=N (another node holds the lease), bootstrap=ready, has_pending=?, eligible_campaigns=0, drained_calls=0, errors=0
4|critsend | 2026-05-23 04:30:03 +02:00: 2026-05-23T02:30:03.372Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=Y, bootstrap=ready, has_pending=Y, eligible_campaigns=0, picked=0+0, winding_down=0, back_pressured=0, drained_calls=0, errors=0
4|critsend | 2026-05-23 04:30:46 +02:00: 2026-05-23T02:30:46.316Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=Y, bootstrap=ready, has_pending=Y, eligible_campaigns=0, picked=0+0, winding_down=0, back_pressured=0, drained_calls=0, errors=1
4|critsend | 2026-05-23 04:31:00 +02:00: 2026-05-23T02:31:00.074Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=Y, bootstrap=ready, has_pending=Y, eligible_campaigns=0, picked=0+0, winding_down=0, back_pressured=0, drained_calls=0, errors=0
4|critsend | 2026-05-23 04:31:02 +02:00: 2026-05-23T02:31:02.500Z [INFO] [PRESSURE_GUARD] Historical last_sent_at backfill skipped by design — guard auto-engages from first send onward (NULL is semantically correct, see comment)
4|critsend | 2026-05-23 04:31:12 +02:00: 2026-05-23T02:31:12.578Z [INFO] [PRESSURE_GUARD] Bootstrap ready (window=6h, max_defer=72h, near_aging=48h, lock=ran, schema_verified=true)
4|critsend | 2026-05-23 04:31:13 +02:00: 2026-05-23T02:31:13.666Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=Y, bootstrap=ready, has_pending=Y, eligible_campaigns=0, picked=0+0, winding_down=0, back_pressured=0, drained_calls=0, errors=0
4|critsend | 2026-05-23 04:31:23 +02:00: 2026-05-23T02:31:23.153Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=Y, bootstrap=ready, has_pending=Y, eligible_campaigns=0, picked=0+0, winding_down=0, back_pressured=0, drained_calls=0, errors=0
4|critsend | 2026-05-23 04:31:32 +02:00: 2026-05-23T02:31:32.873Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=Y, bootstrap=ready, has_pending=Y, eligible_campaigns=0, picked=0+0, winding_down=0, back_pressured=0, drained_calls=0, errors=0
4|critsend | 2026-05-23 04:31:42 +02:00: 2026-05-23T02:31:42.873Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=Y, bootstrap=ready, has_pending=Y, eligible_campaigns=0, picked=0+0, winding_down=0, back_pressured=0, drained_calls=0, errors=0
4|critsend | 2026-05-23 04:31:52 +02:00: 2026-05-23T02:31:52.875Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=Y, bootstrap=ready, has_pending=Y, eligible_campaigns=0, picked=0+0, winding_down=0, back_pressured=0, drained_calls=0, errors=0
4|critsend | 2026-05-23 04:32:03 +02:00: 2026-05-23T02:32:03.102Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=Y, bootstrap=ready, has_pending=Y, eligible_campaigns=0, picked=0+0, winding_down=0, back_pressured=0, drained_calls=0, errors=0
4|critsend | 2026-05-23 04:32:13 +02:00: 2026-05-23T02:32:13.316Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=Y, bootstrap=ready, has_pending=Y, eligible_campaigns=0, picked=0+0, winding_down=0, back_pressured=0, drained_calls=0, errors=0
4|critsend | 2026-05-23 04:32:22 +02:00: 2026-05-23T02:32:22.981Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=Y, bootstrap=ready, has_pending=Y, eligible_campaigns=0, picked=0+0, winding_down=0, back_pressured=0, drained_calls=0, errors=0
4|critsend | 2026-05-23 04:32:32 +02:00: 2026-05-23T02:32:32.792Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=Y, bootstrap=ready, has_pending=Y, eligible_campaigns=0, picked=0+0, winding_down=0, back_pressured=0, drained_calls=0, errors=0
4|critsend | 2026-05-23 04:32:42 +02:00: 2026-05-23T02:32:42.745Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=Y, bootstrap=ready, has_pending=Y, eligible_campaigns=0, picked=0+0, winding_down=0, back_pressured=0, drained_calls=0, errors=0
4|critsend-web  | 2026-05-23 04:32:52 +02:00: 2026-05-23T02:32:52.804Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=Y, bootstrap=ready, has_pending=Y, eligible_campaigns=0, picked=0+0, winding_down=0, back_pressured=0, drained_calls=0, errors=0
4|critsend-web  | 2026-05-23 04:33:02 +02:00: 2026-05-23T02:33:02.862Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=Y, bootstrap=ready, has_pending=Y, eligible_campaigns=0, picked=0+0, winding_down=0, back_pressured=0, drained_calls=0, errors=0

