ip_address,total_clicks,unique_subscribers
87.98.180.194,13,13
54.38.234.228,11,11
4.251.36.204,10,1
51.195.130.157,10,10
193.70.55.173,9,9
193.70.55.50,9,9
217.182.250.120,9,9
51.255.225.54,9,9
5.135.82.151,9,9
54.37.100.107,9,9
54.37.100.114,9,9
87.98.182.101,9,9
91.121.225.164,9,9
91.134.197.233,9,9
164.132.27.177,8,8
178.32.88.96,8,8
188.165.37.244,8,8
193.70.103.255,8,8
51.255.225.159,8,8
5.135.127.72,8,8
54.37.100.105,8,8
54.37.100.115,8,8
54.38.153.147,8,8
151.80.62.206,7,7
164.132.219.91,7,7
188.165.58.79,7,7
193.70.55.52,7,7
217.182.228.4,7,7
46.105.76.231,7,7
46.105.78.84,7,7
51.195.130.153,7,7
51.255.119.240,7,7
5.135.78.241,7,7
5.135.78.242,7,7
51.38.162.5,7,7
51.89.222.91,7,7
54.37.100.110,7,7
54.38.153.146,7,7
54.38.153.180,7,7
79.137.50.207,7,7
86.225.7.247,7,1
87.98.187.21,7,7
188.165.81.128,6,6
193.70.103.253,6,6
193.70.55.169,6,6
193.70.55.51,6,6
217.182.228.47,6,6
217.182.239.100,6,6
46.105.76.117,6,6
46.105.76.140,6,6
46.105.76.156,6,6
46.105.77.195,6,6
46.105.78.50,6,6
51.195.130.74,6,6
51.255.13.225,6,6
51.255.225.228,6,6
5.135.127.68,6,6
5.135.78.250,6,6
5.135.78.252,6,6
5.135.78.253,6,6
51.38.247.211,6,6
54.38.153.148,6,6
77.133.249.175,6,1
86.228.156.127,6,1
87.98.187.183,6,6
90.12.241.17,6,1
91.134.213.36,6,6
104.28.88.21,5,1
109.221.51.158,5,1
145.239.113.73,5,5
147.135.181.154,5,5
164.132.119.253,5,5
164.132.149.189,5,5
164.132.27.220,5,5
178.33.71.40,5,5
188.165.37.16,5,5
188.165.61.165,5,5
193.70.79.97,5,5
193.70.79.98,5,5
2.10.146.233,5,1
2.13.1.46,5,1
2.7.100.246,5,1
37.65.118.222,5,1
46.105.77.200,5,5
46.105.77.46,5,5
46.105.77.66,5,5
51.195.130.155,5,5
51.195.130.70,5,5
51.255.119.152,5,5
5.135.82.149,5,5
51.38.162.4,5,5
51.38.245.48,5,5
51.38.247.188,5,5
5.196.114.163,5,5
54.36.88.227,5,5
54.37.100.106,5,5
54.37.100.108,5,5
54.37.100.111,5,5
54.37.100.74,5,5
54.37.163.19,5,5
54.38.153.170,5,5
54.38.153.181,5,5
54.38.234.205,5,5
54.38.234.224,5,5
86.201.74.130,5,1
86.204.179.131,5,1
87.98.176.104,5,5
87.98.182.78,5,5
90.25.244.150,5,1
91.134.17.85,5,5
92.134.135.65,5,1
92.88.170.37,5,1
109.221.181.104,4,1
128.79.80.191,4,1
147.135.191.99,4,4
151.80.62.207,4,4
164.132.9.239,4,4
176.129.244.67,4,1
